date,word,network
2020-12-16,george,Fox News
2020-12-16,soros,Fox News
2020-12-16,george,Fox News
2020-12-16,gascón,Fox News
2020-12-16,fall,Fox News
2020-12-16,los,Fox News
2020-12-16,angeles,Fox News
2020-12-15,joe,Fox News
2020-12-15,biden,Fox News
2020-12-15,democracy,Fox News
2020-12-15,oligarchy,Fox News
2020-12-12,fix,Fox News
2020-12-12,post,Fox News
2020-12-12,coronavirus|covid,Fox News
2020-12-12,economy,Fox News
2020-12-12,socialists,Fox News
2020-12-12,bay,Fox News
2020-12-11,hunter,Fox News
2020-12-11,biden,Fox News
2020-12-11,fiasco,Fox News
2020-12-11,dishonesty,Fox News
2020-12-11,arrogance,Fox News
2020-12-11,mainstream,Fox News
2020-12-11,media,Fox News
2020-12-11,elites,Fox News
2020-12-10,hunter,Fox News
2020-12-10,biden,Fox News
2020-12-10,tax,Fox News
2020-12-10,investigation,Fox News
2020-12-10,confirms,Fox News
2020-12-10,mainstream,Fox News
2020-12-10,media,Fox News
2020-12-10,covered,Fox News
2020-12-09,eric,Fox News
2020-12-09,swalwell,Fox News
2020-12-09,house,Fox News
2020-12-09,intel,Fox News
2020-12-09,committee,Fox News
2020-12-09,chinese,Fox News
2020-12-09,spy,Fox News
2020-12-09,revelations,Fox News
2020-12-08,elites,Fox News
2020-12-08,collusion,Fox News
2020-12-08,china,Fox News
2020-12-08,real,Fox News
2020-12-08,widespread,Fox News
2020-12-05,meet,Fox News
2020-12-05,patrick,Fox News
2020-12-05,gaspard,Fox News
2020-12-05,george,Fox News
2020-12-05,soros,Fox News
2020-12-05,biden,Fox News
2020-12-05,cabinet,Fox News
2020-12-04,christmas,Fox News
2020-12-04,lockdowns,Fox News
2020-12-03,coronavirus|covid,Fox News
2020-12-03,pandemic,Fox News
2020-12-03,global,Fox News
2020-12-03,fraud,Fox News
2020-12-03,perpetrated,Fox News
2020-12-03,china,Fox News
2020-12-03,abetted,Fox News
2020-12-03,powerful,Fox News
2020-12-03,biden,Fox News
2020-12-03,political,Fox News
2020-12-03,plagiarism,Fox News
2020-12-02,diversity,Fox News
2020-12-02,delusion,Fox News
2020-12-02,destruction,Fox News
2020-12-02,american,Fox News
2020-12-02,meritocracy,Fox News
2020-12-01,paul,Fox News
2020-12-01,krugman,Fox News
2020-12-01,illegitimate,Fox News
2020-12-01,column,Fox News
2020-12-01,depraved,Fox News
2020-12-01,media,Fox News
2020-12-01,mob,Fox News
2020-12-01,save,Fox News
2020-12-01,phony,Fox News
2020-12-01,bs,Fox News
2020-12-01,lectures,Fox News
2020-12-01,election,Fox News
2020-12-01,results,Fox News
2020-12-01,fauci,Fox News
2020-12-01,admits,Fox News
2020-12-01,months,Fox News
2020-12-01,ago,Fox News
2020-12-01,schools,Fox News
2020-12-01,stay,Fox News
2020-11-30,media,Fox News
2020-11-30,hard,Fox News
2020-11-30,hitting,Fox News
2020-11-30,joe,Fox News
2020-11-30,pets,Fox News
2020-11-25,joe,Fox News
2020-11-25,biden,Fox News
2020-11-25,gun,Fox News
2020-11-25,grabbing,Fox News
2020-11-25,borders,Fox News
2020-11-25,soft,Fox News
2020-11-25,china,Fox News
2020-11-25,advisers,Fox News
2020-11-24,media,Fox News
2020-11-24,treatment,Fox News
2020-11-24,biden,Fox News
2020-11-24,cabinet,Fox News
2020-11-24,election,Fox News
2020-11-24,rigged,Fox News
2020-11-24,joe,Fox News
2020-11-24,biden,Fox News
2020-11-24,saved,Fox News
2020-11-24,puppy,Fox News
2020-11-24,alligator,Fox News
2020-11-21,forget,Fox News
2020-11-21,democratic,Fox News
2020-11-21,norms,Fox News
2020-11-21,democrats,Fox News
2020-11-21,punish,Fox News
2020-11-21,trump,Fox News
2020-11-21,supporters,Fox News
2020-11-20,time,Fox News
2020-11-20,sidney,Fox News
2020-11-20,powell,Fox News
2020-11-20,evidence,Fox News
2020-11-19,gavin,Fox News
2020-11-19,newsom,Fox News
2020-11-19,french,Fox News
2020-11-19,laundry,Fox News
2020-11-19,birthday,Fox News
2020-11-19,dinner,Fox News
2020-11-19,mere,Fox News
2020-11-19,hypocrisy,Fox News
2020-11-18,coronavirus|covid,Fox News
2020-11-18,restrictions,Fox News
2020-11-17,elites,Fox News
2020-11-17,coronavirus|covid,Fox News
2020-11-17,19,Fox News
2020-11-17,lockdowns,Fox News
2020-11-17,usher,Fox News
2020-11-17,reset,Fox News
2020-11-17,terrify,Fox News
2020-11-16,violent,Fox News
2020-11-16,attacks,Fox News
2020-11-16,maga,Fox News
2020-11-16,march,Fox News
2020-11-14,saluting,Fox News
2020-11-14,america,Fox News
2020-11-14,beautiful,Fox News
2020-11-14,america,Fox News
2020-11-14,nice,Fox News
2020-11-14,america,Fox News
2020-11-14,sweet,Fox News
2020-11-14,america,Fox News
2020-11-14,happy,Fox News
2020-11-13,joe,Fox News
2020-11-13,biden,Fox News
2020-11-13,agenda,Fox News
2020-11-13,meant,Fox News
2020-11-13,america,Fox News
2020-11-13,unhappy,Fox News
2020-11-13,rich,Fox News
2020-11-13,ladies,Fox News
2020-11-12,dead,Fox News
2020-11-12,people,Fox News
2020-11-12,voted,Fox News
2020-11-12,election,Fox News
2020-11-12,democrats,Fox News
2020-11-12,helped,Fox News
2020-11-12,happen,Fox News
2020-11-11,defund,Fox News
2020-11-11,police,Fox News
2020-11-11,disaster,Fox News
2020-11-11,democrats,Fox News
2020-11-11,forget,Fox News
2020-11-11,democrats,Fox News
2020-11-11,desire,Fox News
2020-11-11,shame,Fox News
2020-11-11,trump,Fox News
2020-11-11,supporters,Fox News
2020-11-10,rampant,Fox News
2020-11-10,polling,Fox News
2020-11-10,errors,Fox News
2020-11-10,amounted,Fox News
2020-11-10,voter,Fox News
2020-11-10,suppression,Fox News
2020-11-10,media,Fox News
2020-11-10,calls,Fox News
2020-11-10,unity,Fox News
2020-11-10,spewing,Fox News
2020-11-10,nonstop,Fox News
2020-11-10,psychotic,Fox News
2020-11-10,rage,Fox News
2020-11-10,hatred,Fox News
2020-11-07,biden,Fox News
2020-11-07,victory,Fox News
2020-11-07,usher,Fox News
2020-11-07,age,Fox News
2020-11-07,oligarchy,Fox News
2020-11-06,media,Fox News
2020-11-06,step,Fox News
2020-11-06,election,Fox News
2020-11-06,system,Fox News
2020-11-05,gop,Fox News
2020-11-05,outperformed,Fox News
2020-11-05,expectations,Fox News
2020-11-05,election,Fox News
2020-11-05,night,Fox News
2020-11-05,pollsters,Fox News
2020-11-05,crashed,Fox News
2020-11-05,spectacularly,Fox News
2020-11-05,election,Fox News
2020-11-05,narrowly,Fox News
2020-11-05,saved,Fox News
2020-11-05,america,Fox News
2020-11-03,donald,Fox News
2020-11-03,trump,Fox News
2020-11-03,supporters,Fox News
2020-11-03,love,Fox News
2020-11-03,trump,Fox News
2020-11-03,rallies,Fox News
2020-11-02,presidential,Fox News
2020-11-02,race,Fox News
2020-11-02,coming,Fox News
2020-11-02,merciful,Fox News
2020-11-02,biden,Fox News
2020-11-02,trump,Fox News
2020-11-02,shot,Fox News
2020-11-01,post,Fox News
2020-11-01,election,Fox News
2020-11-01,violence,Fox News
2020-10-31,hunter,Fox News
2020-10-31,biden,Fox News
2020-10-31,scandal,Fox News
2020-10-31,media,Fox News
2020-10-31,collusion,Fox News
2020-10-31,powerful,Fox News
2020-10-31,real,Fox News
2020-10-31,threat,Fox News
2020-10-31,america,Fox News
2020-10-30,mainstream,Fox News
2020-10-30,media,Fox News
2020-10-30,hunter,Fox News
2020-10-30,biden,Fox News
2020-10-30,lies,Fox News
2020-10-30,consequences,Fox News
2020-10-30,glenn,Fox News
2020-10-30,greenwald,Fox News
2020-10-29,biden,Fox News
2020-10-29,america,Fox News
2020-10-29,permanently,Fox News
2020-10-29,defined,Fox News
2020-10-29,changed,Fox News
2020-10-29,coronavirus|covid,Fox News
2020-10-29,19,Fox News
2020-10-29,tony,Fox News
2020-10-29,bobulinski,Fox News
2020-10-29,told,Fox News
2020-10-29,matters,Fox News
2020-10-27,trump,Fox News
2020-10-27,rallies,Fox News
2020-10-27,biden,Fox News
2020-10-27,seclusion,Fox News
2020-10-27,tony,Fox News
2020-10-27,bobulinski,Fox News
2020-10-27,joe,Fox News
2020-10-27,hunter,Fox News
2020-10-27,biden,Fox News
2020-10-24,learned,Fox News
2020-10-24,final,Fox News
2020-10-24,presidential,Fox News
2020-10-24,debate,Fox News
2020-10-22,curious,Fox News
2020-10-22,chris,Fox News
2020-10-22,cuomo,Fox News
2020-10-22,mask,Fox News
2020-10-22,hypocrite,Fox News
2020-10-21,media,Fox News
2020-10-21,dismissing,Fox News
2020-10-21,hunter,Fox News
2020-10-21,biden,Fox News
2020-10-21,story,Fox News
2020-10-21,russian,Fox News
2020-10-21,disinformation,Fox News
2020-10-21,america,Fox News
2020-10-21,powerful,Fox News
2020-10-21,people,Fox News
2020-10-21,shut,Fox News
2020-10-21,hunter,Fox News
2020-10-21,biden,Fox News
2020-10-20,politics,Fox News
2020-10-20,late,Fox News
2020-10-20,night,Fox News
2020-10-20,comedy,Fox News
2020-10-20,media,Fox News
2020-10-20,intel,Fox News
2020-10-20,agencies,Fox News
2020-10-20,collude,Fox News
2020-10-20,spread,Fox News
2020-10-20,real,Fox News
2020-10-20,disinformation,Fox News
